cell_id,users,prb_utilization,latency,packet_loss,congestion
cell001,500,35,10,0.1,0
cell002,700,45,12,0.2,0
cell003,900,55,15,0.3,0
cell004,1100,65,18,0.4,0
cell005,1300,72,22,0.5,0
cell006,1500,78,25,0.6,0
cell007,1700,82,30,0.8,1
cell008,1800,88,38,1.0,1
cell009,2000,92,45,1.5,1
cell010,2200,95,55,2.0,1
cell011,600,40,11,0.1,0
cell012,800,50,14,0.2,0
cell013,1000,60,17,0.3,0
cell014,1200,68,20,0.4,0
cell015,1400,75,24,0.5,0
cell016,1600,80,28,0.7,1
cell017,1750,85,34,0.9,1
cell018,1900,90,42,1.2,1
cell019,2100,94,50,1.8,1
cell020,2300,97,60,2.5,1
cell021,550,30,9,0.1,0
cell022,750,42,11,0.2,0
cell023,950,52,14,0.3,0
cell024,1150,63,18,0.4,0
cell025,1350,70,21,0.5,0
cell026,1550,77,26,0.6,0
cell027,1650,81,29,0.7,1
cell028,1850,87,36,1.0,1
cell029,2050,91,44,1.4,1
cell030,2250,96,58,2.2,1
cell031,1000,58,16,0.3,0
cell032,1800,89,40,1.1,1
